,kids
0,"[40998219, 40998564, 40998530, 40998880, 40998269, 40998580, 40998474, 40998952, 40999012, 40998861, 40998751, 40998639, 40998631, 40999826, 40998382]"
1,"[40999956, 40999689, 40999066, 41000460, 40999693, 40999477, 40969396, 40999132, 40969296, 40998950, 40969270, 41000143, 40999096, 41000042, 40999394, 40999729, 40999940, 40999661, 40999664, 40998914, 40968945, 40999213]"
2,"[40999759, 40998467, 41000226, 40996125, 40996270, 40995828, 40996138, 40999226, 40998519, 40997368, 40999203, 40998969, 40997633, 40996108, 40995818, 40997255, 40997295, 40996215, 40995956, 40995833]"
3,"[41000188, 40998682, 40999220, 40999717, 40996682, 40998811]"
4,"[41000167, 41000161, 41000380, 41000454]"
5,"[40998961, 40998711, 40998672]"
6,"[41000222, 41000235, 41000273, 41000378, 41000260, 41000312, 41000419]"
7,"[40998444, 40997982, 40997603, 40998458, 40998543, 40998535, 41000363, 40997377, 40997986, 40998878, 40997899, 40998462, 40999780, 40997933, 40997677, 40997815, 40997618, 40998079, 40998619, 40997394, 40997380, 40997690, 40997932]"
8,"[40995243, 40993693, 40999421, 40997476, 40998815, 40996472, 40996704, 40999889, 40998076, 40995806, 40997376, 40999986, 40993563, 40999557, 40996099, 40994107, 41000450, 40999591, 40995731, 40998053, 40995878, 40996520, 41000029, 40997367, 40997999, 40995134, 40997402, 40997428, 40996774, 40993808, 40993658, 40997619, 40996242, 40995886, 40999153, 40998111, 40993573, 40996593, 40998643, 41000285, 40994351, 40996030, 40993627, 40997319, 40997562, 40999821, 40995456, 40995738, 41000311, 40998955, 40999040, 40998722, 40993843, 40997136, 40997242, 40993735, 40995712, 40997912, 40993862, 40993580, 40993747, 40997972, 40995766, 40996783, 40999865, 40998291, 40998273, 40997381, 40994154, 40997355, 40997107, 40998539, 40998386, 40998468, 40997412, 40998246, 40996075, 40997009, 40994933, 40995293, 40997989, 40994310, 40993605, 40993624, 40994556, 40997350, 40996129, 40999171, 40999185, 40993582, 40993649, 41000310, 40994246, 40993662, 40996097, 40993675, 40997152, 40998279, 40993601, 40997187, 40993838, 40997973, 40995063, 40993710, 40995373, 40993771, 40996725, 40993734, 40993947, 40998835, 40993698, 40996660, 40994995, 40998352, 40995226, 40995526, 40993993, 40998157, 40997694, 40998571, 40993638, 40994054, 40998170, 40994956, 40998573, 40998033, 40993623, 40997664, 40997570, 40993583, 40997262, 40996734, 40993768, 40996436, 40998226, 40993744, 40993897, 40993697, 40995851, 40993895, 40995395, 40994329, 40995047, 40994366, 40994313, 40996315, 40993725, 40993695, 40993590, 40996839, 40995922, 40994169, 40996054, 40998430, 40995125, 40996801, 40998533, 40993561, 40994585, 40993681, 40993551, 40995837, 40994125, 40998029, 40999351, 40999839, 40998413, 40993977, 40995389, 40994984, 40996227, 40994204, 40994176]"
9,
